site_id,start_time,end_time
655402,07-05-18 0:00,11-06-18 23:00
410977,NaN,16-02-18 23:00
672695,20-04-18 0:00,NaN
770007,NaN,NaN
520043,NaN,NaN
778712,NaN,NaN
644207,NaN,01-09-18 23:00
852227,NaN,NaN
295363,21-09-16 8:00,24-08-17 23:00
295363,05-09-17 23:00,24-09-17 11:00
295363,24-09-17 16:00,06-10-17 23:00
295363,08-10-17 23:00,NaN
460596,04-05-17 23:00,25-08-17 23:00
460596,03-09-17 23:00,14-11-17 22:00
460596,22-01-18 12:00,NaN
322405,03-11-16 15:00,25-08-17 23:00
322405,03-09-17 23:00,NaN
424625,08-03-17 23:00,NaN
658334,19-08-18 23:00,NaN
